house_id,region_id,area_id,city_id,street_id,shortname_region,formalname_region,shortname_area,formalname_area,shortname_city,formalname_city,shortname_street,formalname_street,house_number,building,block,letter,address,houseguid,cadastral_number,cadastral_registration_date,stage,built_year,exploitation_start_year,project_type,house_type,floor_count_max,floor_count_min,entrance_count,residents_count,area_total,area_residential,area_non_residential,area_common_property,area_land,monument_status,monument_document_date,monument_document_number,deterioration_total,determined_date,floor_type,wall_material,alarm_reason,alarm_reason_other,alarm_document_number,alarm_document_date,alarm_has_file,exp_name,exp_document_number,exp_document_date,exp_has_file,commission_document_number,commission_document_date,commission_has_file,further_use,decision_deadline_date,planned_resettlement_date,actual_resettlement_date,planned_demolition_date,planned_rooms_count,planned_rooms_square,planned_ppl_count,resettled_rooms_count,resettled_rooms_square,resettled_ppl_count,empty_rooms_count,empty_rooms_square,redemption_amount,planned_providing_area_square,address2,rest,rest,,
8933731,92b30014-4d52-4e2e-892d-928142b924bf,,4c6e0818-33a6-496b-aca6-2401afb168d2,6c2b0b6b-7177-4974-936e-ae2a6ef0293a,обл,Свердловская,,г. Алапаевск,п,Асбестовский,ул,Горняков,29,,,,"обл. Свердловская, г. Алапаевск, п. Асбестовский, ул. Горняков, д. 29",aad12db1-567e-4597-be3c-b746ea031999,66:32:0701002:83,,Эксплуатируемый,1935,1935,деревянный,Многоквартирный дом,1,1,0,9,"271,2","271,2",0,0,1200,Не имеется,,,45,4/9/1987,Деревянные,Деревянные,Физический износ,,1883-П,10/17/2014,Имеется,"МУП ""Архитектурно-градостроительное бюро""",б/н,4/21/2014,Имеется,10,10/15/2014,Имеется,Снос,8/1/2019,12/31/2023,,12/31/2024,7,"183,5",8,,,,4,"87,7",,,обл. Свердловская,п. Асбестовский,ул. Горняков,д. 29,
8933732,92b30014-4d52-4e2e-892d-928142b924bf,,4c6e0818-33a6-496b-aca6-2401afb168d2,6c2b0b6b-7177-4974-936e-ae2a6ef0293a,обл,Свердловская,,г. Алапаевск,п,Асбестовский,ул,Горняков,32,,,,"обл. Свердловская, г. Алапаевск, п. Асбестовский, ул. Горняков, д. 32",076bb254-efd2-47f8-be45-c03c4c9d58b9,66:32:0701002:78,,Эксплуатируемый,1947,1947,деревянный,Многоквартирный дом,1,1,0,13,"174,4","174,4",0,0,1622,Не имеется,,,50,1/30/1989,Деревянные,Деревянные,Физический износ,,1882-П,10/17/2014,Имеется,"МУП ""Архитектурно-градостроительное бюро""",б/н,4/21/2014,Имеется,9,10/15/2014,Имеется,Снос,8/1/2019,12/31/2023,,12/31/2024,6,"131,7",10,,,,2,"42,7",,,обл. Свердловская,п. Асбестовский,ул. Горняков,д. 32,
8933733,92b30014-4d52-4e2e-892d-928142b924bf,,4c6e0818-33a6-496b-aca6-2401afb168d2,6c2b0b6b-7177-4974-936e-ae2a6ef0293a,обл,Свердловская,,г. Алапаевск,п,Асбестовский,ул,Горняков,34,,,,"обл. Свердловская, г. Алапаевск, п. Асбестовский, ул. Горняков, д. 34",7efb12e7-f914-4b2e-9e98-e6ba7914f82c,66:32:0701002:10,,Эксплуатируемый,1935,1935,деревянное,Многоквартирный дом,1,1,0,18,"284,6","267,5",0,0,690,Не имеется,,,50,1/28/1989,Деревянные,Деревянные,Физический износ,,1884-П,10/17/2014,Имеется,"МУП ""Архитектурно-градостроительное бюро""",б/н,4/21/2014,Имеется,11,10/15/2014,Имеется,Снос,8/1/2019,12/31/2023,,12/31/2024,5,"151,6",12,,,,5,"115,9",,,обл. Свердловская,п. Асбестовский,ул. Горняков,д. 34,
7649148,92b30014-4d52-4e2e-892d-928142b924bf,,a4ab722e-453a-4aed-bb73-728a05e2e27f,deea0bcf-397b-43d6-893f-a56731739b15,обл,Свердловская,,г. Алапаевск,г,Алапаевск,ул,Бочкарева,8,,,,"обл. Свердловская, г. Алапаевск, ул. Бочкарева, д. 8",b5abc9d5-c175-6453-51ed-af0d67d8e37d,66:32:0402009:59,6/30/2013,Эксплуатируемый,1930,1930,,Многоквартирный дом,2,1,2,9,"535,7","506,9",,"28,8",,Не имеется,,,60,9/3/2015,Не заполнено,Не заполнено,Пожар,,784-П,6/13/2019,Имеется,"МУП ""АГБ""",б/н,2/26/2019,Имеется,5,6/4/2019,Имеется,Снос,6/1/2022,6/13/2022,,6/13/2022,21,485,9,,,,1,"21,9",,,обл. Свердловская,ул. Бочкарева,д. 8,,
8467396,92b30014-4d52-4e2e-892d-928142b924bf,,a4ab722e-453a-4aed-bb73-728a05e2e27f,deea0bcf-397b-43d6-893f-a56731739b15,обл,Свердловская,,г. Алапаевск,г,Алапаевск,ул,Бочкарева,88,,,,"обл. Свердловская, г. Алапаевск, ул. Бочкарева, д. 88",e1909ecd-e5ec-4bd5-810d-21b9e53864ac,66:32:0402001:179,12/30/2015,Эксплуатируемый,1956,1956,брус,Многоквартирный дом,2,1,2,62,"907,9","860,3",0,"64,6",1854,Не имеется,,,65,1/1/1998,Не заполнено,Не заполнено,Физический износ,,1086-П,7/21/2016,Имеется,"МУП ""Архитектурно-градостроительное бюро""",б/н,7/24/2015,Имеется,3,6/23/2016,Имеется,Снос,7/21/2019,9/1/2025,,12/31/2025,31,"843,3",56,,,,1,17,,,обл. Свердловская,ул. Бочкарева,д. 88,,
7919501,92b30014-4d52-4e2e-892d-928142b924bf,,a4ab722e-453a-4aed-bb73-728a05e2e27f,deea0bcf-397b-43d6-893f-a56731739b15,обл,Свердловская,,г. Алапаевск,г,Алапаевск,ул,Бочкарева,122,,,,"обл. Свердловская, г. Алапаевск, ул. Бочкарева, д. 122",e4d0c299-7863-782f-d05d-5ae0f6da946e,,12/30/2015,Эксплуатируемый,1957,1957,брус,Многоквартирный дом,1,1,2,4,"78,8","58,3",0,"20,5",,Не заполнено,,,65,2/7/1997,Не заполнено,Деревянные,Физический износ,,11,10/17/2017,Имеется,"МУП ""АГБ""",б/н,9/1/2017,Не имеется,11,10/17/2017,Имеется,Снос,10/17/2022,,,12/31/2023,4,"58,3",4,,,,,,,,обл. Свердловская,ул. Бочкарева,д. 122,,
7834508,92b30014-4d52-4e2e-892d-928142b924bf,,a4ab722e-453a-4aed-bb73-728a05e2e27f,330b90ef-c17a-40e0-9da4-2817b7b00d31,обл,Свердловская,,г. Алапаевск,г,Алапаевск,ул,Братьев Останиных,6,,,,"обл. Свердловская, г. Алапаевск, ул. Братьев Останиных, д. 6",ae5846db-d9fb-4afa-efa0-9b93afe8139d,66:32:0402009:61,5/4/2012,Эксплуатируемый,1928,1928,,Многоквартирный дом,2,1,2,20,"533,8","492,9",0,"40,9",,Не имеется,,,,,Не заполнено,Не заполнено,Физический износ,,1355-П,10/18/2019,Имеется,"ООО ""БлагоДар""",б/н,3/13/2018,Имеется,9,10/16/2019,Имеется,Снос,10/18/2024,10/18/2024,,10/18/2024,23,"492,9",20,,,,,,,,обл. Свердловская,ул. Братьев Останиных,д. 6,,
8467349,92b30014-4d52-4e2e-892d-928142b924bf,,a4ab722e-453a-4aed-bb73-728a05e2e27f,5b673955-70ee-450a-9dfa-0cef7abc7ac6,обл,Свердловская,,г. Алапаевск,г,Алапаевск,ул,Вокзальная,4,,,,"обл. Свердловская, г. Алапаевск, ул. Вокзальная, д. 4",152ee9e4-8271-4322-a72f-d2fcbf50891d,,9/30/2014,Эксплуатируемый,1913,1913,брус,Многоквартирный дом,1,1,4,7,"173,8","136,2",0,"37,6",,Не заполнено,,,50,8/25/1995,Не заполнено,Не заполнено,Физический износ,,1350-П,9/26/2017,Имеется,"МУП ""АГБ""",б/н,8/3/2017,Имеется,9,9/26/2017,Имеется,Снос,10/6/2022,10/6/2022,,10/6/2022,6,"136,2",7,,,,,,,,обл. Свердловская,ул. Вокзальная,д. 4,,
8665687,92b30014-4d52-4e2e-892d-928142b924bf,,a4ab722e-453a-4aed-bb73-728a05e2e27f,f49a9299-f1d3-41fb-94c2-d8f06218bdf4,обл,Свердловская,,г. Алапаевск,г,Алапаевск,ул,Дзержинского,16,,,,"обл. Свердловская, г. Алапаевск, ул. Дзержинского, д. 16",b6f309ef-860f-4762-8634-e81cf593b1d8,,,Эксплуатируемый,,960,,Жилой дом блокированной застройки,,1,2,4,"103,2","76,8",,,,Не заполнено,,,80,,Не заполнено,Деревянные,Пожар,,,8/5/2003,Не имеется,,,,Не имеется,,,Не имеется,Снос,,,,,,,,,,,,,,,обл. Свердловская,ул. Дзержинского,д. 16,,
8666828,92b30014-4d52-4e2e-892d-928142b924bf,,a4ab722e-453a-4aed-bb73-728a05e2e27f,92f63b05-9cb3-41b9-a2e1-d02b95cb896d,обл,Свердловская,,г. Алапаевск,г,Алапаевск,ул,Доблести,36,,,,"обл. Свердловская, г. Алапаевск, ул. Доблести, д. 36",65d1224d-b1cf-4694-88cf-1601cb4f11f8,,,Эксплуатируемый,,1947,,Жилой дом блокированной застройки,,1,2,5,"68,4",44,,,,Не заполнено,,,70,,Не заполнено,Деревянные,Физический износ,,,9/26/2001,Не имеется,,,,Не имеется,,,Не имеется,Снос,,,,,,,,,,,,,,,обл. Свердловская,ул. Доблести,д. 36,,
9067376,92b30014-4d52-4e2e-892d-928142b924bf,,d9f4652a-91c6-4ae1-bf02-4cd9381c3202,ccd37aea-34f1-41de-a0b6-b88f40008881,обл,Свердловская,,г. Алапаевск,п,Западный,ул,Гагарина,6,,,,"обл. Свердловская, г. Алапаевск, п. Западный, ул. Гагарина, д. 6",edd4804f-8854-485c-b603-67265f92656e,66:32:0301002:88,2/7/2012,Эксплуатируемый,1950,1950,брус,Многоквартирный дом,1,1,4,19,"227,8","212,8",0,0,1540,Не имеется,,,85,9/2/1998,Не заполнено,Не заполнено,Физический износ,,1906-П,12/27/2016,Имеется,"МУП ""Архитектурно-градостроительное бюро""",б/н,6/28/2016,Имеется,12,12/7/2016,Имеется,Снос,12/27/2021,9/1/2025,,12/31/2025,10,"212,8",15,,,,,,,,обл. Свердловская,п. Западный,ул. Гагарина,д. 6,
9090657,92b30014-4d52-4e2e-892d-928142b924bf,,d9f4652a-91c6-4ae1-bf02-4cd9381c3202,a7d96511-7d16-4d40-96e5-1fbcadd48692,обл,Свердловская,,г. Алапаевск,п,Западный,ул,Ленина,76,,,,"обл. Свердловская, г. Алапаевск, п. Западный, ул. Ленина, д. 76",f71b6866-f1d9-4970-af3a-e59563bbb879,,,Эксплуатируемый,1954,1954,деревянный,Многоквартирный дом,1,1,3,,"94,2","90,4",0,"3,8",,Не имеется,,,55,3/31/1989,,,Физический износ,,294-П,3/5/2019,Имеется,"МУП ""Архитектурно-градостроительное бюро""",б/н,5/17/2018,Имеется,3,2/28/2019,Имеется,Снос,2/28/2024,2/28/2024,,2/28/2024,4,"68,5",8,,,,1,"21,9",,,обл. Свердловская,п. Западный,ул. Ленина,д. 76,
8667612,92b30014-4d52-4e2e-892d-928142b924bf,,a4ab722e-453a-4aed-bb73-728a05e2e27f,866e3115-eb8e-422d-ae13-e3c656f12236,обл,Свердловская,,г. Алапаевск,г,Алапаевск,ул,Зыряновская,13,,,,"обл. Свердловская, г. Алапаевск, ул. Зыряновская, д. 13",b5d0ff86-2edc-4765-a794-3cdedd15a5a7,,,Эксплуатируемый,,1957,,Жилой дом блокированной застройки,,1,1,2,"164,2","16,1",,,,Не заполнено,,,65,,Не заполнено,Деревянные,Физический износ,,4,2/26/2010,Не имеется,,,,Не имеется,,,Не имеется,Снос,,,,,,,,,,,,,,,обл. Свердловская,ул. Зыряновская,д. 13,,
9145954,92b30014-4d52-4e2e-892d-928142b924bf,,d16b9a2d-b3a8-43ca-acf1-e59cd9fce9a3,5bf53eaf-8c29-4b89-b3cf-027bd22d4cc6,обл,Свердловская,,г. Алапаевск,п,Зыряновский,ул,Мира,27,,,,"обл. Свердловская, г. Алапаевск, п. Зыряновский, ул. Мира, д. 27",db956293-1a92-4cb5-9278-fc7ad1e745a9,,,Эксплуатируемый,1958,1958,деревянный,Многоквартирный дом,1,1,2,8,109,109,0,0,,Не имеется,,,70,3/30/2018,Не заполнено,Деревянные,Физический износ,,423-П,4/4/2018,Имеется,"МУП ""Архитектурно-градостроительное бюро"" МО город Алапаевск",б/н,7/3/2017,Имеется,5,3/30/2018,Имеется,Снос,,12/31/2023,,12/31/2024,6,109,7,,,,,,,,обл. Свердловская,п. Зыряновский,ул. Мира,д. 27,
9102351,92b30014-4d52-4e2e-892d-928142b924bf,,d16b9a2d-b3a8-43ca-acf1-e59cd9fce9a3,6089bcca-2a6a-4fcf-8281-3ebef2fa525e,обл,Свердловская,,г. Алапаевск,п,Зыряновский,ул,Октябрьская,14,,,,"обл. Свердловская, г. Алапаевск, п. Зыряновский, ул. Октябрьская, д. 14",59eb25e3-19eb-437e-a6dd-d81d6dec0b7f,,,Эксплуатируемый,1946,1946,,Многоквартирный дом,2,1,2,17,606,"580,8",0,"25,2",,Не имеется,,,65,6/10/1970,,,Физический износ,,626-П,5/22/2017,Имеется,"МУП ""Архитектурно-градостроительное бюро"" Мо город Алапаевсск",б/н,1/13/2017,Имеется,5,5/11/2017,Имеется,Снос,,,,12/31/2023,,,,,,,,,,,обл. Свердловская,п. Зыряновский,ул. Октябрьская,д. 14,
9378603,92b30014-4d52-4e2e-892d-928142b924bf,8170e3ae-b1f3-492d-aeec-2a9733eff7c6,c46422a1-c731-401e-a6b5-e23ae15c5e28,096d5105-516d-4595-abbf-2ffbbbbbbf3a,обл,Свердловская,р-н,Алапаевский,п,Березовский,ул,Ленина,3,,,,"обл. Свердловская, р-н. Алапаевский, п. Березовский, ул. Ленина, д. 3",b24d779c-33f6-49b5-8a42-1cb93d597c0b,,,Эксплуатируемый,,1956,,Жилой дом блокированной застройки,1,1,0,1,80,80,0,0,,Не имеется,,,,,,,Физический износ,,233-Р,12/31/2015,Имеется,,,,Не имеется,,,Не имеется,Снос,,,,12/31/2024,2,40,1,,,,2,40,,,обл. Свердловская,п. Березовский,ул. Ленина,д. 3,
9083317,92b30014-4d52-4e2e-892d-928142b924bf,8170e3ae-b1f3-492d-aeec-2a9733eff7c6,c46422a1-c731-401e-a6b5-e23ae15c5e28,096d5105-516d-4595-abbf-2ffbbbbbbf3a,обл,Свердловская,р-н,Алапаевский,п,Березовский,ул,Ленина,5,,,,"обл. Свердловская, р-н. Алапаевский, п. Березовский, ул. Ленина, д. 5",05f73cec-b324-14ec-9fd1-9f608c5518dd,,,Эксплуатируемый,1953,1953,,Жилой дом блокированной застройки,1,1,0,3,80,80,0,0,,Не имеется,,,,,Не заполнено,Не заполнено,Физический износ,,44,12/9/2013,Имеется,,,,Не имеется,44,12/9/2013,Имеется,Снос,12/9/2013,12/31/2022,,12/31/2022,2,40,3,,,,2,40,,,обл. Свердловская,п. Березовский,ул. Ленина,д. 5,
9378604,92b30014-4d52-4e2e-892d-928142b924bf,8170e3ae-b1f3-492d-aeec-2a9733eff7c6,c46422a1-c731-401e-a6b5-e23ae15c5e28,a109c6bc-9e2c-42bd-a632-90e4a82e5594,обл,Свердловская,р-н,Алапаевский,п,Березовский,ул,Мира,2,,,,"обл. Свердловская, р-н. Алапаевский, п. Березовский, ул. Мира, д. 2",be7dc112-a2f5-45b6-bc1f-5af37aa4f4bb,,,Эксплуатируемый,,1956,,Жилой дом блокированной застройки,1,1,0,1,80,80,0,0,,Не имеется,,,,,,,Физический износ,,233-Р,12/31/2015,Имеется,,,,Не имеется,,,Не имеется,Снос,,,,12/31/2024,2,40,1,,,,2,40,,,обл. Свердловская,п. Березовский,ул. Мира,д. 2,
9376871,92b30014-4d52-4e2e-892d-928142b924bf,8170e3ae-b1f3-492d-aeec-2a9733eff7c6,c46422a1-c731-401e-a6b5-e23ae15c5e28,4ffac974-9f64-4975-8733-27ee82e03b4d,обл,Свердловская,р-н,Алапаевский,п,Березовский,ул,Чапаева,2,,,,"обл. Свердловская, р-н. Алапаевский, п. Березовский, ул. Чапаева, д. 2",f30518bd-0ad6-4994-9339-c94535995a3b,,,Эксплуатируемый,1956,1956,,Жилой дом блокированной застройки,1,1,0,1,80,80,0,0,,Не имеется,,,,,,,Физический износ,,970,12/25/2017,Имеется,,,,Не имеется,75,10/1/2008,Имеется,Снос,,,,12/31/2024,2,40,1,,,,2,40,,,обл. Свердловская,п. Березовский,ул. Чапаева,д. 2,
9349685,92b30014-4d52-4e2e-892d-928142b924bf,8170e3ae-b1f3-492d-aeec-2a9733eff7c6,889fee48-5067-43ee-89fe-aebd798fa653,fe758e1b-d9fa-4ab4-ab2c-9f4fdbe0722d,обл,Свердловская,р-н,Алапаевский,д,Бобровка,ул,Клубная,1,,,,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Клубная, д. 1",82e4db81-2a9f-417a-b9b7-45308db36ed5,,,Эксплуатируемый,1920,,,Жилой дом (индивидуально-определенное здание),1,,,1,40,40,,,,,,,,,Деревянные,Деревянные,Физический износ,,5,3/15/2016,Не имеется,,,,Не имеется,,,Не имеется,Не заполнено,,,,,0,40,1,0,,,0,,,,обл. Свердловская,д. Бобровка,ул. Клубная,д. 1,
9377058,92b30014-4d52-4e2e-892d-928142b924bf,8170e3ae-b1f3-492d-aeec-2a9733eff7c6,889fee48-5067-43ee-89fe-aebd798fa653,d60bb863-0556-4114-bc27-fe8f398d60ff,обл,Свердловская,р-н,Алапаевский,д,Бобровка,ул,Ленина,4,,,,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Ленина, д. 4",fc7bfe0c-df8e-4f4b-abbe-6ef556a266ad,,,Эксплуатируемый,1983,1983,,Жилой дом блокированной застройки,1,1,0,7,74,74,0,0,,Не имеется,,,,,,,Физический износ,,233-Р,12/31/2015,Имеется,,,,Не имеется,4,11/26/2008,Имеется,Снос,,,,12/31/2024,2,37,7,,,,2,37,,,обл. Свердловская,д. Бобровка,ул. Ленина,д. 4,
9083073,92b30014-4d52-4e2e-892d-928142b924bf,8170e3ae-b1f3-492d-aeec-2a9733eff7c6,889fee48-5067-43ee-89fe-aebd798fa653,d60bb863-0556-4114-bc27-fe8f398d60ff,обл,Свердловская,р-н,Алапаевский,д,Бобровка,ул,Ленина,27,,,,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Ленина, д. 27",3d61ec22-e032-4c90-834a-4b3d948a5a2c,,,Эксплуатируемый,,,,Жилой дом (индивидуально-определенное здание),1,,,3,45,45,,,,,,,,,Не заполнено,Не заполнено,Физический износ,,28,7/30/2012,Не имеется,,,,Не имеется,,,Не имеется,Не заполнено,,,,,0,,,0,,,0,,,,обл. Свердловская,д. Бобровка,ул. Ленина,д. 27,
